,Acc,Depth,MAE,Rate,Stops
0,0.9450056116722784,20,0.05499438832772166,0.01,100
1,0.9775533108866442,20,0.02244668911335578,0.02,100
2,0.9876543209876543,20,0.012345679012345678,0.03,100
3,0.9910213243546577,20,0.008978675645342313,0.04,100
4,0.9910213243546577,20,0.008978675645342313,0.05,100
5,0.9921436588103255,20,0.007856341189674524,0.060000000000000005,100
6,0.9910213243546577,20,0.008978675645342313,0.06999999999999999,100
7,0.9921436588103255,20,0.007856341189674524,0.08,100
8,0.9921436588103255,20,0.007856341189674524,0.09,100
9,0.9461279461279462,21,0.05387205387205387,0.01,100
10,0.9809203142536476,21,0.019079685746352413,0.02,100
11,0.9887766554433222,21,0.01122334455667789,0.03,100
12,0.9910213243546577,21,0.008978675645342313,0.04,100
13,0.9910213243546577,21,0.008978675645342313,0.05,100
14,0.9910213243546577,21,0.008978675645342313,0.060000000000000005,100
15,0.9910213243546577,21,0.008978675645342313,0.06999999999999999,100
16,0.9921436588103255,21,0.007856341189674524,0.08,100
17,0.9921436588103255,21,0.007856341189674524,0.09,100
18,0.9461279461279462,22,0.05387205387205387,0.01,100
19,0.9809203142536476,22,0.019079685746352413,0.02,100
20,0.98989898989899,22,0.010101010101010102,0.03,100
21,0.9910213243546577,22,0.008978675645342313,0.04,100
22,0.9921436588103255,22,0.007856341189674524,0.05,100
23,0.9910213243546577,22,0.008978675645342313,0.060000000000000005,100
24,0.9921436588103255,22,0.007856341189674524,0.06999999999999999,100
25,0.9921436588103255,22,0.007856341189674524,0.08,100
26,0.9921436588103255,22,0.007856341189674524,0.09,100
27,0.9461279461279462,23,0.05387205387205387,0.01,100
28,0.9809203142536476,23,0.019079685746352413,0.02,100
29,0.98989898989899,23,0.010101010101010102,0.03,100
30,0.9910213243546577,23,0.008978675645342313,0.04,100
31,0.9910213243546577,23,0.008978675645342313,0.05,100
32,0.9910213243546577,23,0.008978675645342313,0.060000000000000005,100
33,0.9921436588103255,23,0.007856341189674524,0.06999999999999999,100
34,0.9921436588103255,23,0.007856341189674524,0.08,100
35,0.9932659932659933,23,0.006734006734006734,0.09,100
36,0.9461279461279462,24,0.05387205387205387,0.01,100
37,0.9820426487093153,24,0.017957351290684626,0.02,100
38,0.9887766554433222,24,0.01122334455667789,0.03,100
39,0.9910213243546577,24,0.008978675645342313,0.04,100
40,0.9910213243546577,24,0.008978675645342313,0.05,100
41,0.9921436588103255,24,0.007856341189674524,0.060000000000000005,100
42,0.9910213243546577,24,0.008978675645342313,0.06999999999999999,100
43,0.9921436588103255,24,0.007856341189674524,0.08,100
44,0.9921436588103255,24,0.007856341189674524,0.09,100
45,0.9461279461279462,25,0.05387205387205387,0.01,100
46,0.9831649831649831,25,0.016835016835016835,0.02,100
47,0.9887766554433222,25,0.01122334455667789,0.03,100
48,0.9910213243546577,25,0.008978675645342313,0.04,100
49,0.9910213243546577,25,0.008978675645342313,0.05,100
50,0.9910213243546577,25,0.008978675645342313,0.060000000000000005,100
51,0.9910213243546577,25,0.008978675645342313,0.06999999999999999,100
52,0.9921436588103255,25,0.007856341189674524,0.08,100
53,0.9932659932659933,25,0.006734006734006734,0.09,100
54,0.9461279461279462,26,0.05387205387205387,0.01,100
55,0.9820426487093153,26,0.017957351290684626,0.02,100
56,0.9887766554433222,26,0.01122334455667789,0.03,100
57,0.9910213243546577,26,0.008978675645342313,0.04,100
58,0.9921436588103255,26,0.007856341189674524,0.05,100
59,0.9910213243546577,26,0.008978675645342313,0.060000000000000005,100
60,0.9910213243546577,26,0.008978675645342313,0.06999999999999999,100
61,0.9921436588103255,26,0.007856341189674524,0.08,100
62,0.9932659932659933,26,0.006734006734006734,0.09,100
63,0.9461279461279462,27,0.05387205387205387,0.01,100
64,0.9809203142536476,27,0.019079685746352413,0.02,100
65,0.9887766554433222,27,0.01122334455667789,0.03,100
66,0.9910213243546577,27,0.008978675645342313,0.04,100
67,0.9921436588103255,27,0.007856341189674524,0.05,100
68,0.9921436588103255,27,0.007856341189674524,0.060000000000000005,100
69,0.9921436588103255,27,0.007856341189674524,0.06999999999999999,100
70,0.9921436588103255,27,0.007856341189674524,0.08,100
71,0.9921436588103255,27,0.007856341189674524,0.09,100
72,0.9461279461279462,28,0.05387205387205387,0.01,100
73,0.9809203142536476,28,0.019079685746352413,0.02,100
74,0.9887766554433222,28,0.01122334455667789,0.03,100
75,0.9910213243546577,28,0.008978675645342313,0.04,100
76,0.9921436588103255,28,0.007856341189674524,0.05,100
77,0.9921436588103255,28,0.007856341189674524,0.060000000000000005,100
78,0.9921436588103255,28,0.007856341189674524,0.06999999999999999,100
79,0.9921436588103255,28,0.007856341189674524,0.08,100
80,0.9921436588103255,28,0.007856341189674524,0.09,100
81,0.9461279461279462,29,0.05387205387205387,0.01,100
82,0.9809203142536476,29,0.019079685746352413,0.02,100
83,0.9887766554433222,29,0.01122334455667789,0.03,100
84,0.9910213243546577,29,0.008978675645342313,0.04,100
85,0.9921436588103255,29,0.007856341189674524,0.05,100
86,0.9921436588103255,29,0.007856341189674524,0.060000000000000005,100
87,0.9921436588103255,29,0.007856341189674524,0.06999999999999999,100
88,0.9921436588103255,29,0.007856341189674524,0.08,100
89,0.9921436588103255,29,0.007856341189674524,0.09,100
90,0.9461279461279462,30,0.05387205387205387,0.01,100
91,0.9809203142536476,30,0.019079685746352413,0.02,100
92,0.9887766554433222,30,0.01122334455667789,0.03,100
93,0.9910213243546577,30,0.008978675645342313,0.04,100
94,0.9921436588103255,30,0.007856341189674524,0.05,100
95,0.9921436588103255,30,0.007856341189674524,0.060000000000000005,100
96,0.9921436588103255,30,0.007856341189674524,0.06999999999999999,100
97,0.9921436588103255,30,0.007856341189674524,0.08,100
98,0.9921436588103255,30,0.007856341189674524,0.09,100
99,0.9450056116722784,20,0.05499438832772166,0.01,110
100,0.9775533108866442,20,0.02244668911335578,0.02,110
101,0.9876543209876543,20,0.012345679012345678,0.03,110
102,0.9910213243546577,20,0.008978675645342313,0.04,110
103,0.9910213243546577,20,0.008978675645342313,0.05,110
104,0.9921436588103255,20,0.007856341189674524,0.060000000000000005,110
105,0.9921436588103255,20,0.007856341189674524,0.06999999999999999,110
106,0.9921436588103255,20,0.007856341189674524,0.08,110
107,0.9921436588103255,20,0.007856341189674524,0.09,110
108,0.9461279461279462,21,0.05387205387205387,0.01,110
109,0.9809203142536476,21,0.019079685746352413,0.02,110
110,0.9887766554433222,21,0.01122334455667789,0.03,110
111,0.9910213243546577,21,0.008978675645342313,0.04,110
112,0.9910213243546577,21,0.008978675645342313,0.05,110
113,0.9910213243546577,21,0.008978675645342313,0.060000000000000005,110
114,0.9910213243546577,21,0.008978675645342313,0.06999999999999999,110
115,0.9921436588103255,21,0.007856341189674524,0.08,110
116,0.9932659932659933,21,0.006734006734006734,0.09,110
117,0.9461279461279462,22,0.05387205387205387,0.01,110
118,0.9809203142536476,22,0.019079685746352413,0.02,110
119,0.98989898989899,22,0.010101010101010102,0.03,110
120,0.9910213243546577,22,0.008978675645342313,0.04,110
121,0.9921436588103255,22,0.007856341189674524,0.05,110
122,0.9910213243546577,22,0.008978675645342313,0.060000000000000005,110
123,0.9921436588103255,22,0.007856341189674524,0.06999999999999999,110
124,0.9932659932659933,22,0.006734006734006734,0.08,110
125,0.9921436588103255,22,0.007856341189674524,0.09,110
126,0.9461279461279462,23,0.05387205387205387,0.01,110
127,0.9809203142536476,23,0.019079685746352413,0.02,110
128,0.98989898989899,23,0.010101010101010102,0.03,110
129,0.9910213243546577,23,0.008978675645342313,0.04,110
130,0.9910213243546577,23,0.008978675645342313,0.05,110
131,0.9910213243546577,23,0.008978675645342313,0.060000000000000005,110
132,0.9921436588103255,23,0.007856341189674524,0.06999999999999999,110
133,0.9921436588103255,23,0.007856341189674524,0.08,110
134,0.9932659932659933,23,0.006734006734006734,0.09,110
135,0.9461279461279462,24,0.05387205387205387,0.01,110
136,0.9820426487093153,24,0.017957351290684626,0.02,110
137,0.9887766554433222,24,0.01122334455667789,0.03,110
138,0.9910213243546577,24,0.008978675645342313,0.04,110
139,0.9910213243546577,24,0.008978675645342313,0.05,110
140,0.9921436588103255,24,0.007856341189674524,0.060000000000000005,110
141,0.9910213243546577,24,0.008978675645342313,0.06999999999999999,110
